#  RA   Dec   redshift   u    g   r   i   z
34.21841519 -7.248380446 0.68 99.0 24.833 23.2972 22.0302 21.4434
34.83675226 -7.248750654 0.76 25.8006 24.6373 23.2249 21.9693 21.4448
34.93498223 -7.248045552 0.89 26.1035 25.3418 23.6543 22.213 21.6643
34.9188336 -7.248508817 0.67 24.7421 23.7035 22.3292 21.3156 20.9341
34.06813592 -7.248671372 0.7 26.6746 24.1286 22.552 21.2751 20.6199
34.6146742 -7.248926704 0.58 25.5124 23.5148 21.9389 20.9077 20.5336
34.24413579 -7.247594456 0.68 26.9948 24.5383 23.2045 21.8267 21.2305
34.0331876 -7.247017744 0.57 26.1543 24.775 23.4611 22.4869 22.2308
34.14782587 -7.246592408 0.45 99.0 24.5334 23.0382 22.3936 21.9921
34.4834964 -7.246760219 0.5 99.0 24.188 22.8712 21.9184 21.5715
34.09897737 -7.245483814 0.54 25.118 23.965 22.5788 21.8819 21.4352
34.63642045 -7.245868036 0.32 23.8987 22.474 21.4765 20.8699 20.4801
34.94853789 -7.245642467 0.66 26.232 23.9258 22.3978 21.099 20.6234
34.34226716 -7.244537298 0.62 24.2482 23.3324 21.8469 21.0799 20.6847
34.77017018 -7.243864743 0.7 26.1266 24.5058 23.0838 21.7902 21.3406
34.37208873 -7.243723027 0.57 26.3003 24.8468 23.349 22.4458 22.0641
34.46995321 -7.24302392 0.58 27.4436 24.5891 23.0607 21.8915 21.5712
34.36881384 -7.242872464 0.65 25.4747 24.3773 23.0793 22.0981 21.7109
34.36378868 -7.242940297 0.57 24.3915 23.1199 21.6351 20.7713 20.4274
34.73291889 -7.242623672 0.3 23.5616 21.9811 20.7405 20.201 19.9147
34.4119206 -7.241696972 0.33 25.4081 23.4548 22.1361 21.5089 21.2813
34.78297315 -7.241956255 0.36 24.8587 22.8247 21.4323 20.7951 20.4561
34.09743789 -7.241149452 0.91 25.7666 25.0247 23.4107 22.1716 21.5172
34.16794556 -7.240938044 0.67 24.8481 23.6316 22.2072 21.1359 20.7173
34.90268348 -7.24066868 0.7 25.5207 24.4359 23.0389 21.9914 21.5063
34.54879742 -7.240511073 0.69 99.0 24.5435 22.9986 21.6375 21.097
34.36845031 -7.240290172 0.55 99.0 25.0195 23.5892 22.4627 22.2075
34.37839586 -7.24038854 1.01 25.721 25.015 23.1561 21.8533 21.0166
34.10284468 -7.240706389 0.44 24.6627 22.9047 21.3101 20.6412 20.2251
34.36916111 -7.23806625 0.54 25.322 23.9087 22.6104 21.7379 21.43
34.0996026 -7.237732648 0.77 99.0 25.6307 23.8423 22.3565 21.7179
34.87677528 -7.236831522 0.35 24.6455 23.2004 22.0121 21.4636 21.1158
34.71505853 -7.236560762 0.74 25.457 24.3402 23.0035 21.6585 21.2777
34.71781522 -7.236199462 0.66 25.9402 24.1196 22.575 21.4056 20.969
34.7415517 -7.236318484 0.67 26.062 24.1787 22.6081 21.432 20.9562
34.96252525 -7.235390095 0.88 24.9488 24.2419 23.2065 21.9521 21.3317
34.3730302 -7.235352054 0.6 24.558 23.3654 22.0088 21.101 20.7457
34.23565092 -7.233575156 0.69 25.9255 24.4557 23.5426 22.4095 21.9667
34.08561524 -7.234383731 0.52 25.4327 23.2794 21.8789 20.9663 20.6235
34.36233303 -7.233758323 0.54 27.3626 23.9171 22.4124 21.4861 21.1123
34.57726643 -7.233126998 0.65 25.8893 23.8059 22.3595 21.0396 20.6661
34.59631311 -7.232706513 0.13 24.4858 22.98 22.2967 21.94 21.6611
34.66000896 -7.23145585 0.83 26.4748 25.4629 23.5147 22.1414 21.693
34.79444864 -7.23127616 0.27 24.2482 22.7366 21.5489 21.0398 20.8109
